trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.8, 'e': 0.7590133304719844}",20,0,-9.710265137155524,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
64,False,"{'a': 0.8, 'e': 0.7524647378001358}",30,0,-111.97650897179284,"{0: 23, 1: 3, 2: 0, 3: 2, 4: 2}",0
65,False,"{'a': 0.8, 'e': 0.7425009695308558}",25,0,-50.32251191320078,"{0: 20, 1: 1, 2: 1, 3: 3, 4: 0}",0
66,False,"{'a': 0.8, 'e': 0.7340701180732816}",20,0,-54.787326518001095,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
67,False,"{'a': 0.8, 'e': 0.7272427912598436}",30,0,-39.45376933550522,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
68,False,"{'a': 0.8, 'e': 0.7168656594952265}",25,3,-178.53855894344514,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 3}",1
69,False,"{'a': 0.8, 'e': 0.7091531196920834}",20,0,16.062585668827676,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.8, 'e': 0.702067234805604}",20,0,-103.12991865662197,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
71,False,"{'a': 0.8, 'e': 0.6949111437806981}",25,1,-47.62847669388846,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 1}",1
72,False,"{'a': 0.8, 'e': 0.6862321705073288}",25,0,-81.54094856401856,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
73,False,"{'a': 0.8, 'e': 0.6770865139252646}",25,2,-10.654773025615844,"{0: 17, 1: 5, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.8, 'e': 0.6685790392068645}",20,16,9.178213515017768,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.8, 'e': 0.6670904208639846}",20,4,-90.8101137018408,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 2}",1
76,False,"{'a': 0.8, 'e': 0.6611093235891975}",25,14,2.2330954439939923,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.8, 'e': 0.656972752419945}",20,14,-29.90839198308931,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
78,False,"{'a': 0.8, 'e': 0.6547080564760429}",20,0,-96.66826235750732,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
79,False,"{'a': 0.8, 'e': 0.6471166288943128}",25,19,11.304049251407328,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.8, 'e': 0.6448265472400012}",25,13,-21.1243735911764,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
